2025-06-12 17:50:22 EEST WARNING:  database "DoMusic" has a collation version mismatch
2025-06-12 18:04:22 EEST WARNING:  database "DoMusic" has a collation version mismatch
2025-06-12 18:04:22 EEST DETAIL:  The database was created using collation version 1540.3,1540.3, but the operating system provides version 1541.2,1541.2.
2025-06-12 18:04:22 EEST HINT:  Rebuild all objects in this database that use the default collation and run ALTER DATABASE "DoMusic" REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.
2025-06-12 18:05:22 EEST WARNING:  database "DoMusic" has a collation version mismatch
2025-06-12 18:05:22 EEST DETAIL:  The database was created using collation version 1540.3,1540.3, but the operating system provides version 1541.2,1541.2.
2025-06-12 18:05:22 EEST HINT:  Rebuild all objects in this database that use the default collation and run ALTER DATABASE "DoMusic" REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.
2025-06-12 18:06:22 EEST WARNING:  database "DoMusic" has a collation version mismatch
2025-06-12 18:06:22 EEST DETAIL:  The database was created using collation version 1540.3,1540.3, but the operating system provides version 1541.2,1541.2.
2025-06-12 18:06:22 EEST HINT:  Rebuild all objects in this database that use the default collation and run ALTER DATABASE "DoMusic" REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.
2025-06-12 18:07:22 EEST WARNING:  database "DoMusic" has a collation version mismatch
2025-06-12 18:07:22 EEST DETAIL:  The database was created using collation version 1540.3,1540.3, but the operating system provides version 1541.2,1541.2.
2025-06-12 18:07:22 EEST HINT:  Rebuild all objects in this database that use the default collation and run ALTER DATABASE "DoMusic" REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.
2025-06-12 18:08:22 EEST WARNING:  database "DoMusic" has a collation version mismatch
2025-06-12 18:08:22 EEST DETAIL:  The database was created using collation version 1540.3,1540.3, but the operating system provides version 1541.2,1541.2.
2025-06-12 18:08:22 EEST HINT:  Rebuild all objects in this database that use the default collation and run ALTER DATABASE "DoMusic" REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.
2025-06-12 18:09:22 EEST WARNING:  database "DoMusic" has a collation version mismatch
2025-06-12 18:09:22 EEST DETAIL:  The database was created using collation version 1540.3,1540.3, but the operating system provides version 1541.2,1541.2.
2025-06-12 18:09:22 EEST HINT:  Rebuild all objects in this database that use the default collation and run ALTER DATABASE "DoMusic" REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.
2025-06-12 18:10:22 EEST WARNING:  database "DoMusic" has a collation version mismatch
2025-06-12 18:10:22 EEST DETAIL:  The database was created using collation version 1540.3,1540.3, but the operating system provides version 1541.2,1541.2.
2025-06-12 18:10:22 EEST HINT:  Rebuild all objects in this database that use the default collation and run ALTER DATABASE "DoMusic" REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.
2025-06-12 18:11:22 EEST WARNING:  database "DoMusic" has a collation version mismatch
2025-06-12 18:11:22 EEST DETAIL:  The database was created using collation version 1540.3,1540.3, but the operating system provides version 1541.2,1541.2.
2025-06-12 18:11:22 EEST HINT:  Rebuild all objects in this database that use the default collation and run ALTER DATABASE "DoMusic" REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.
2025-06-12 18:12:22 EEST WARNING:  database "DoMusic" has a collation version mismatch
2025-06-12 18:12:22 EEST DETAIL:  The database was created using collation version 1540.3,1540.3, but the operating system provides version 1541.2,1541.2.
2025-06-12 18:12:22 EEST HINT:  Rebuild all objects in this database that use the default collation and run ALTER DATABASE "DoMusic" REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.
2025-06-12 18:13:22 EEST WARNING:  database "DoMusic" has a collation version mismatch
2025-06-12 18:13:22 EEST DETAIL:  The database was created using collation version 1540.3,1540.3, but the operating system provides version 1541.2,1541.2.
2025-06-12 18:13:22 EEST HINT:  Rebuild all objects in this database that use the default collation and run ALTER DATABASE "DoMusic" REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.
2025-06-12 18:14:22 EEST WARNING:  database "DoMusic" has a collation version mismatch
2025-06-12 18:14:22 EEST DETAIL:  The database was created using collation version 1540.3,1540.3, but the operating system provides version 1541.2,1541.2.
2025-06-12 18:14:22 EEST HINT:  Rebuild all objects in this database that use the default collation and run ALTER DATABASE "DoMusic" REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.
2025-06-12 18:15:22 EEST WARNING:  database "DoMusic" has a collation version mismatch
2025-06-12 18:15:22 EEST DETAIL:  The database was created using collation version 1540.3,1540.3, but the operating system provides version 1541.2,1541.2.
2025-06-12 18:15:22 EEST HINT:  Rebuild all objects in this database that use the default collation and run ALTER DATABASE "DoMusic" REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.
2025-06-12 18:15:29 EEST LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2025-06-12 18:15:31 EEST LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2025-06-12 18:15:31 EEST LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2025-06-12 18:16:22 EEST WARNING:  database "DoMusic" has a collation version mismatch
2025-06-12 18:16:22 EEST DETAIL:  The database was created using collation version 1540.3,1540.3, but the operating system provides version 1541.2,1541.2.
2025-06-12 18:16:22 EEST HINT:  Rebuild all objects in this database that use the default collation and run ALTER DATABASE "DoMusic" REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.
